function_ID,run_ID,dim,FEVs,computing_time,comm_time,total_FEs,node_num,GPU_num,island_num,global_pop_size,island_size,interval,migration_rate,connection_rate,buffer_capacity,migration_topology,buffer_manage,regroup_option,EA_parameters
27,5,10,0.942771892297060,14.79,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,6,10,1.365982547600197,14.79,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,7,10,1.371174022913237,14.83,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,8,10,1.220378570335015,14.79,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,9,10,1.383949739129093,14.80,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,10,10,1.114319305109348,14.79,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,11,10,1.299726483488030,14.79,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,12,10,1.206410615374807,14.79,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,13,10,1.234204666190180,14.78,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,14,10,0.982107521089802,14.79,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
27,15,10,1.276436922919856,14.78,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,1,10,356.826879297086634,4.49,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,2,10,356.826879297086634,4.49,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,3,10,356.826879297086634,4.48,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,4,10,356.826879297086634,4.48,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,5,10,356.826879297086634,4.49,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,6,10,356.826879297086634,4.49,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,7,10,356.826879297086634,4.49,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,8,10,356.826879297086634,4.50,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,9,10,356.826879297086634,4.49,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,10,10,356.826879297086634,4.50,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,11,10,356.826879297086634,4.49,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,12,10,356.826879297086634,4.49,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,13,10,356.826879297086634,4.50,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,14,10,356.826879297086634,4.49,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
28,15,10,356.826879297086634,4.51,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,1,10,131.745965042917760,5.18,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,2,10,131.966442736708359,5.21,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,3,10,131.745994423581578,5.18,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,4,10,100.000001178874300,5.22,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,5,10,131.745974483104874,5.18,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,6,10,127.438092350097577,5.18,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,7,10,100.000000035483936,5.16,0.05,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,8,10,100.000000168517090,5.17,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
29,9,10,131.745980605913246,5.18,0.06,10002432.00,32,0,32,8192,256,100,0.0000,0.2500,16.0000,EDT,diversity,no,CR/F=0.9/0.5_rand/1/bin
